analysis,study,tier,family,status,n,outcome_unknown,parameters,imputations,p,statistic,df1,df2,method,m,primary_terms,estimate,lower,upper,same_primary_imputations,ratio,ratio_lower,ratio_upper,r,p_bh_secondary
primary,cec,primary,ols,ESTIMATED,2286,0,27,2,4.8635369315155334e-30,129.65993777695147,1,38469779828.83311,Rubin scalar Wald,2,cec,8.429858360147268,6.978864869269268,9.880851851025268,,,,,,
complete_case,cec,sensitivity,ols,ESTIMATED,2004,0,27,1,2.801626159902739e-26,112.48224499367758,1,inf,Rubin scalar Wald,1,cec,8.49543884888927,6.925466797023732,10.06541090075481,,,,,,
without_hdl_same_sample,cec,sensitivity,ols,ESTIMATED,2286,0,26,2,5.333741520402044e-30,129.47675649939706,1,34560307673.958496,Rubin scalar Wald,2,cec,8.425088280710106,6.9738903663269545,9.87628619509326,True,,,,,
white_matter,cec,secondary,ols,ESTIMATED,2286,0,27,2,0.8894122375883984,0.019334339889028357,1,63095759.81063112,Rubin scalar Wald,2,cec,-0.0016500003876918003,-0.024907738239994204,0.021607737464610602,,,,,,0.8894122375883984
apo_ai_adjusted,cec,secondary,ols,ESTIMATED,2286,0,28,2,2.0654949083600602e-29,126.78960938186017,1,73811757973.36943,Rubin scalar Wald,2,cec,8.378700007465158,6.92027903741068,9.837120977519636,,,,,,8.261979633440241e-29
function60,cec,secondary,multinomial,ESTIMATED,2126,0,74,2,0.005193321168298741,7.810859937433581,1,37867188.039141215,Rubin scalar Wald,2,dependent:cec,-0.15214321278578236,-0.25883998042559603,-0.045446445145968684,,0.8588652714449464,0.7719465397176454,0.9555707766550923,,0.010386642336597482
function60_with_gm,cec,secondary,multinomial,ESTIMATED,2126,0,76,2,0.20643307062165794,1.596266749746835,1,570403379.7531097,Rubin scalar Wald,2,dependent:cec,-0.07108220684199751,-0.18135192406003964,0.03918751037604462,,0.9313853227343064,0.8341417524830922,1.0399654696849283,,0.2752440941622106
function60_observation_weighted,cec,sensitivity,multinomial,ESTIMATED,2126,160,74,2,0.005372999597459969,7.749413222182908,1,184213410473.57965,Rubin scalar Wald,2,dependent:cec,-0.1532230807084369,-0.261102319000921,-0.04534384241595281,,0.8579383109759475,0.7702021092729221,0.9556688258554723,,
cec_spline,cec,sensitivity,ols,ESTIMATED,2286,0,28,2,3.2261794736182487e-29,65.6037374373934,2,62965699.07472317,D1 pooled multivariate Wald,2,cec;cec_rcs,,,,,,,,0.00015436919922835182,
