study,status,p,analysis,tier,family,n,outcome_unknown,parameters,imputations,statistic,df1,df2,r,method,m,run,estimate,lower,upper,ratio,ratio_lower,ratio_upper,p_holm_five
recovery,ESTIMATED,1.7940466415050469e-10,primary,primary,multinomial,1822,0,66,2,22.441380465520677,2,152726996.33558488,9.911303299024148e-05,D1 pooled multivariate Wald,2,20260917T140242302722Z,,,,,,,5.382139924515141e-10
bp,ESTIMATED,0.4013973410306078,primary,primary,cox,2310,0,35,2,0.9128034670303424,2,5560006644.978088,1.6425367968579112e-05,D1 pooled multivariate Wald,2,20260917T140254293971Z,,,,,,,0.8027946820612157
ceramide,ESTIMATED,3.8640812734768526e-31,primary,primary,ols,2281,0,26,2,134.68771148678576,1,1107402831.858529,,Rubin scalar Wald,2,20260917T140309473388Z,0.1791500556621406,0.1488947843322783,0.2094053269920029,,,,1.9320406367384263e-30
cec,ESTIMATED,4.863536931515533e-30,primary,primary,ols,2286,0,27,2,129.65993777695147,1,38469779828.83311,,Rubin scalar Wald,2,20260917T140330268929Z,8.429858360147268,6.978864869269268,9.880851851025268,,,,1.9454147726062133e-29
kidney,ESTIMATED,0.5330827432930715,primary,primary,multinomial,2103,0,62,2,0.38851174593248,1,10969734.80831465,,Rubin scalar Wald,2,20260917T140349005442Z,0.0907216436470597,-0.1945489278519434,0.3759922151460629,1.094964172600695,0.8232058995747832,1.4564357955870155,0.8027946820612157
