analysis,study,tier,family,status,n,outcome_unknown,parameters,imputations,p,statistic,df1,df2,method,m,estimate,lower,upper,r,ratio,ratio_lower,ratio_upper,p_bh_secondary
primary,ceramide,primary,ols,ESTIMATED,2281,0,26,2,3.8640812734768534e-31,134.68771148678576,1,1107402831.858529,Rubin scalar Wald,2,0.17915005566214065,0.14889478433227837,0.20940532699200293,,,,,
complete_case,ceramide,sensitivity,ols,ESTIMATED,1994,0,26,1,2.2300539874231835e-28,122.06848714338577,1,inf,Rubin scalar Wald,1,0.1813562590018918,0.14918419984760206,0.21352831815618156,,,,,
alternative_ratio,ceramide,secondary,ols,ESTIMATED,2281,0,26,2,3.014555998402887e-35,153.47609826123858,1,1395000901583.1943,Rubin scalar Wald,2,0.2418460369070859,0.20358412291175837,0.2801079509024134,,,,,1.8087335990417322e-34
gray_matter,ceramide,secondary,ols,ESTIMATED,2281,0,26,2,0.40714344230443783,0.6871266340816058,1,450596360.03389925,Rubin scalar Wald,2,-0.8578008742959486,-2.8860261255238013,1.170424376931904,,,,,0.7475339316113482
acute_lesion,ceramide,secondary,ols,ESTIMATED,2281,0,25,2,0.9466324652241248,0.004480459746200166,1,8003015637.824017,Rubin scalar Wald,2,-0.0011487381421032283,-0.034785009120522056,0.0324875328363156,,,,,0.9466324652241248
separate_components,ceramide,secondary,ols,ESTIMATED,2281,0,27,2,2.2859324253335653e-30,68.25078922606578,2,446143832.6346117,D1 pooled multivariate Wald,2,,,,5.798736380363286e-05,,,,6.857797276000696e-30
function60,ceramide,secondary,multinomial,ESTIMATED,2120,0,72,2,0.646400559161966,0.21046988154157215,1,83477.84477769639,Rubin scalar Wald,2,0.033735636757736484,-0.11039235042236305,0.177863623937836,,1.0343111367363869,0.8954827233380006,1.1946623867729496,0.7756806709943592
function60_with_wmh,ceramide,secondary,multinomial,ESTIMATED,2120,0,74,2,0.4983559544075654,0.4584357147890081,1,93062997.82220118,Rubin scalar Wald,2,-0.0515215381808542,-0.20066275941292794,0.09761968305121954,,0.9497831931397128,0.8181883113387658,1.1025433894241556,0.7475339316113482
function60_observation_weighted,ceramide,sensitivity,multinomial,ESTIMATED,2120,161,72,2,0.646342163450616,0.21054300861689643,1,3170046.040824832,Rubin scalar Wald,2,0.03397995315611782,-0.11116455911378614,0.17912446542602178,,1.0345638667799097,0.894791490718287,1.1961696166638844,
