analysis,study,tier,family,status,n,outcome_unknown,parameters,imputations,p,statistic,df1,df2,method,m,estimate,lower,upper,ratio,ratio_lower,ratio_upper,r,p_bh_secondary
primary,kidney,primary,multinomial,ESTIMATED,2103,0,62,2,0.5330827432930715,0.38851174593248,1,10969734.80831465,Rubin scalar Wald,2,0.09072164364705977,-0.1945489278519434,0.3759922151460629,1.094964172600695,0.8232058995747832,1.4564357955870157,,
complete_case,kidney,sensitivity,multinomial,ESTIMATED,1908,0,62,1,0.5759879362513209,0.31276577087840635,1,inf,Rubin scalar Wald,1,0.08524461083590061,-0.21350366985557856,0.3839928915273798,1.0889834112641985,0.8077491958222311,1.4681350054474076,,
baseline_structure,kidney,secondary,ols,ESTIMATED,2400,0,22,2,0.18231881871034114,1.7786204791782352,1,80245376.07899038,Rubin scalar Wald,2,-0.02317255404976861,-0.057227512687459826,0.010882404587922605,,,,,0.18231881871034114
continuous_uacr3,kidney,secondary,multinomial,ESTIMATED,2103,0,60,2,0.0010368482404743474,10.760583010168574,1,32907135.855873454,Rubin scalar Wald,2,0.2996006582346936,0.12059244028464619,0.478608876184741,1.3493198601961327,1.1281650240416616,1.6138278056140805,,0.002073696480948695
incremental_albuminuria,kidney,secondary,multinomial,ESTIMATED,2103,0,62,2,0.0016042953257227426,5.088044255689877,3,21633701.11145035,D1 pooled multivariate Wald,2,,,,,,,0.000304145681167662,0.0021390604342969902
clinical_wmh_only,kidney,secondary,multinomial,ESTIMATED,2103,0,56,2,3.5849835856365834e-06,21.474857788386988,1,500204925741924.0,Rubin scalar Wald,2,0.26772210921195017,0.15449063004345304,0.3809535883804473,1.3069838907620908,1.167063342673454,1.463679672089205,,1.4339934342546334e-05
clinical_same_subset_core,kidney,sensitivity,multinomial,ESTIMATED,2103,0,62,2,0.5330827432930715,0.38851174593248,1,10969734.80831465,Rubin scalar Wald,2,0.09072164364705977,-0.1945489278519434,0.3759922151460629,1.094964172600695,0.8232058995747832,1.4564357955870157,,
clinical_extended,kidney,sensitivity,multinomial,ESTIMATED,2103,0,74,2,0.5301409364718089,0.3941215237325039,1,2189832.6466639773,Rubin scalar Wald,2,0.09160293343699782,-0.19438165901799542,0.37758752589199107,1.0959295786851349,0.8233436077825288,1.4587611175748822,,
observation_weighted,kidney,sensitivity,multinomial,ESTIMATED,2103,165,62,2,0.5278897578534585,0.3984520690248397,1,380411274.1397429,Rubin scalar Wald,2,0.09167589937921287,-0.19297674881307314,0.3763285475714989,1.0960095471368962,0.8245011445464733,1.456925724555518,,
