study,status,p,analysis,tier,family,n,outcome_unknown,parameters,imputations,statistic,df1,df2,r,method,m,primary_terms,path,run,contract,estimate,lower,upper,ratio,ratio_lower,ratio_upper,p_holm_four
recovery,ESTIMATED,3.0211939971512195e-18,primary,primary,multinomial,1825,0,66,2,40.34088145740823,2,856491401.5207648,4.185065899919907e-05,D1 pooled multivariate Wald,2,dependent:wmh_ml;dependent:gm119_ml,01_recovery,20260918T041936237934Z,imaging_four_studies_20260918_v3,,,,,,,9.063581991453658e-18
bp,ESTIMATED,0.4532050219548798,primary,primary,cox,2310,0,35,2,0.7914106687946919,2,107893113708.7213,3.728639409681727e-06,D1 pooled multivariate Wald,2,sbp3_x_wmh_ml;sbp3_rcs_x_wmh_ml,02_bp,20260918T042151989565Z,imaging_four_studies_20260918_v3,,,,,,,0.9064100439097597
cec,ESTIMATED,7.091284760238494e-20,primary,primary,ols,2280,0,27,2,83.28844658061334,1,236524846884.4384,,Rubin scalar Wald,2,cec,05_cec,20260918T042355417675Z,imaging_four_studies_20260918_v3,6.869012250604101,5.393815317253477,8.344209183954725,,,,2.8365139040953976e-19
kidney,ESTIMATED,0.6857670128241914,primary,primary,multinomial,2130,0,68,2,0.16370616878710667,1,17864073.476106856,,Rubin scalar Wald,2,dependent:albuminuria_3_x_wmh_ml,06_kidney,20260918T042736233717Z,imaging_four_studies_20260918_v3,-0.05766294517776251,-0.3369896245769942,0.2216637342214692,0.9439680628102349,0.7139162470473477,1.2481515966208434,0.9064100439097597
