wmh_ml,support_min,support_max,both_low_n,persistent_n,status,both_low_probability,both_low_lower,both_low_upper,persistent_probability,persistent_lower,persistent_upper,difference_estimate,difference_lower,difference_upper,relative_probability_ratio,ratio_lower,ratio_upper,ci
3.5056561332934457,3.505656133293446,38.66098800000037,1052,422,OUTSIDE_OBSERVED_SUPPORT,,,,,,,,,,,,,
3.757438479022653,3.505656133293446,38.66098800000037,1052,422,ESTIMATED,0.17090373756392235,0.13208499663057943,0.21826200231016238,0.15098482006650632,0.099958625792781,0.22164406213957227,-0.019918917497416047,-0.09311745729151802,0.053279622296685925,0.8464532615664935,0.47626880606165,1.5043671029838777,pointwise delta + Rubin; fixed covariate distribution
4.023290773222287,3.505656133293446,38.66098800000037,1052,422,ESTIMATED,0.17310260840134653,0.13527366974359928,0.21883318334463242,0.1547640015658235,0.10438729347055785,0.22338831798242156,-0.01833860683552302,-0.08981360839510868,0.05313639472406265,0.8579497931100606,0.4939416570261127,1.4902121273377078,pointwise delta + Rubin; fixed covariate distribution
4.303999264226746,3.505656133293446,38.66098800000037,1052,422,ESTIMATED,0.17531367180829585,0.13849684990110872,0.21942479766446618,0.15861171757769396,0.10895317591635906,0.22518371896366335,-0.01670195423060189,-0.08640875145813856,0.05300484299693478,0.8696024705904839,0.5120930621088655,1.4767012342305692,pointwise delta + Rubin; fixed covariate distribution
4.600394137023406,3.505656133293446,38.66098800000037,1052,422,ESTIMATED,0.17753653065586442,0.14175064821478328,0.22004053260857953,0.16252803692860335,0.11365314248938305,0.2270371428423567,-0.015008493727261055,-0.08290901415949319,0.052892026704971076,0.8814134147824946,0.5307032748924966,1.4638869675637687,pointwise delta + Rubin; fixed covariate distribution
4.913351968494034,3.505656133293446,38.66098800000037,1052,422,ESTIMATED,0.17977077528899071,0.14503047297141863,0.22068472179112886,0.16651297303799573,0.11848266193924793,0.2289566705950171,-0.013257802250994988,-0.07932200916559184,0.05280640466360187,0.8933847752651952,0.5497445170527576,1.4518314088052073,pointwise delta + Rubin; fixed covariate distribution
5.243798319858523,3.505656133293446,38.66098800000037,1052,422,ESTIMATED,0.18201598360032178,0.1483309099193214,0.22136246365866025,0.17056648230052002,0.12343554814856601,0.23095181464926287,-0.011449501299801754,-0.07565708805195848,0.05275808545235497,0.9055187308132796,0.5691792626139345,1.4406079520326127,pointwise delta + Rubin; fixed covariate distribution
5.59271047398799,3.505656133293446,38.66098800000037,1052,422,ESTIMATED,0.18427172111982937,0.15164558374476306,0.22207975896053006,0.17468846253629983,0.12850366659928392,0.2330337856022609,-0.009583258583529528,-0.07192563436946639,0.052759117202407335,0.9178174897935685,0.5889582315121632,1.4303033721221878,pointwise delta + Rubin; fixed covariate distribution
5.961120325682746,3.505656133293446,38.66098800000037,1052,422,ESTIMATED,0.1865375411204367,0.15496700075645575,0.22284366712174938,0.1788787515163406,0.13367660089268754,0.23521579822558208,-0.007658789604096078,-0.0681413957466487,0.05282381653845654,0.9302832905669292,0.6090180894642344,1.421020189185788,pointwise delta + Rubin; fixed covariate distribution
6.350117433463034,3.505656133293446,38.66098800000037,1052,422,ESTIMATED,0.18881298473989044,0.158286375324982,0.2236624789781981,0.18313712557019196,0.13894128345285892,0.2375134127776607,-0.005675859169698497,-0.0643208496344003,0.0529691312950033,0.9429184018956555,0.6292788888687102,1.4128792946349,pointwise delta + Rubin; fixed covariate distribution
6.760852241898078,3.505656133293446,38.66098800000037,1052,422,ESTIMATED,0.1910975811190841,0.16159344698622327,0.2245458989717514,0.18746329828295177,0.14428160301661969,0.2399448991914334,-0.0036342828361323187,-0.060483588235272855,0.05321502256300822,0.9557251233563793,0.6496413508617546,1.406022738858787,pointwise delta + Rubin; fixed covariate distribution
6.903778316199025,3.505656133293446,38.66098800000037,1052,422,ESTIMATED,0.1918662683278255,0.16269852868345003,0.2248587797494593,0.18893031495422702,0.14608748383242207,0.2407945469251849,-0.0029359533735984628,-0.05919596124173474,0.053324054494537816,0.9600619775046252,0.6564773835495248,1.4040377075390242,pointwise delta + Rubin; fixed covariate distribution
7.19453948400338,3.505656133293446,38.66098800000037,1052,422,ESTIMATED,0.19339084755701363,0.16487630208588108,0.22550522293448014,0.19185691928863166,0.1496780152702097,0.2425315979670122,-0.0015339282683819594,-0.05665269378591387,0.053584837249149954,0.9687057857585916,0.6699841928361036,1.4006164763229367,pointwise delta + Rubin; fixed covariate distribution
7.652461773768717,3.505656133293446,38.66098800000037,1052,422,ESTIMATED,0.19569228968251573,0.16812122414866373,0.22655348728421398,0.1963175731667977,0.15510720357565494,0.24529823103550877,0.0006252834842819521,-0.05285505431133883,0.05410562127990273,0.9818627515688471,0.6901618581518587,1.3968527114783313,pointwise delta + Rubin; fixed covariate distribution
8.135973399441617,3.505656133293446,38.66098800000037,1052,422,ESTIMATED,0.19800140164290986,0.171312611027696,0.22770555158133893,0.20084477844925866,0.16054186462180448,0.2482730879861117,0.0028433768063488157,-0.04912154204197277,0.0548082956546704,0.9951984153407304,0.7100032052053501,1.3949512884385467,pointwise delta + Rubin; fixed covariate distribution
8.646504328784784,3.505656133293446,38.66098800000037,1052,422,ESTIMATED,0.20031766630963188,0.17443301313192835,0.22897806015398348,0.20543798674338792,0.16595072650641374,0.2514879803936597,0.005120320433756043,-0.04548694473456108,0.055727585602073165,1.0087152041506626,0.7293119368815124,1.3951593435252139,pointwise delta + Rubin; fixed covariate distribution
