analysis,study,tier,family,status,n,outcome_unknown,parameters,imputations,p,statistic,df1,df2,method,m,primary_terms,estimate,lower,upper,same_primary_imputations,ratio,ratio_lower,ratio_upper,r,p_bh_secondary
primary,cec,primary,ols,ESTIMATED,2280,0,27,2,7.091284760238494e-20,83.28844658061334,1,236524846884.4384,Rubin scalar Wald,2,cec,6.869012250604101,5.393815317253477,8.344209183954725,,,,,,
complete_case,cec,sensitivity,ols,ESTIMATED,2031,0,27,1,6.008676513931779e-18,74.51803719462913,1,inf,Rubin scalar Wald,1,cec,6.966333646439803,5.38464259246704,8.548024700412565,,,,,,
without_hdl_same_sample,cec,sensitivity,ols,ESTIMATED,2280,0,26,2,7.276907658066288e-20,83.23736718853446,1,362166980437.9266,Rubin scalar Wald,2,cec,6.8654594590387354,5.390573196543002,8.340345721534469,True,,,,,
white_matter,cec,secondary,ols,ESTIMATED,2280,0,27,2,0.996186744602702,2.284099253856531e-05,1,204121407.1826125,Rubin scalar Wald,2,cec,5.44941031666293e-05,-0.02229358074511548,0.02240256895144874,,,,,,0.996186744602702
apo_ai_adjusted,cec,secondary,ols,ESTIMATED,2280,0,28,2,6.996764757726903e-20,83.31497268875822,1,4882804106610.925,Rubin scalar Wald,2,cec,6.86895169176578,5.39400261987432,8.343900763657238,,,,,,2.7987059030907613e-19
function60,cec,secondary,multinomial,ESTIMATED,2132,0,74,2,0.008966997887991712,6.829391490473377,1,7917218.270561235,Rubin scalar Wald,2,dependent:cec,-0.1449120978555862,-0.25359514257683313,-0.036229053134339245,,0.8650983337672908,0.7760059102108448,0.9644193649035485,,0.017933995775983425
function60_with_gm,cec,secondary,multinomial,ESTIMATED,2132,0,76,2,0.23057751417431802,1.437295476319262,1,13423499.72808176,Rubin scalar Wald,2,dependent:cec,-0.06843093834628075,-0.18030453383927111,0.04344265714670961,,0.9338579516510306,0.8350158820948693,1.04440010371297,,0.3074366855657574
function60_observation_weighted,cec,sensitivity,multinomial,ESTIMATED,2132,148,74,2,0.007386946026689792,7.176383545822242,1,919783879.8728255,Rubin scalar Wald,2,dependent:cec,-0.146413783370223,-0.2535354284996607,-0.039292138240785326,,0.8638002030667175,0.7760522500712106,0.9614697860223143,,
cec_spline,cec,sensitivity,ols,ESTIMATED,2280,0,28,2,6.803276548946781e-19,41.83171242753623,2,790183412085.8018,D1 pooled multivariate Wald,2,cec;cec_rcs,,,,,,,,1.3777876057789417e-06,
